ID,Label,Workclass,Education,Marital-status,Occupation,Relationship,Race,Sex,Native-country
CLI0083,>50K,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
CLI0084,<=50K,?,Assoc-acdm,Never-married,?,Not-in-family,White,Male,United-States
CLI0085,<=50K,Private,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
CLI0086,<=50K,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Male,United-States
CLI0087,<=50K,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States
CLI0088,<=50K,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
CLI0089,<=50K,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States
CLI0090,<=50K,Private,10th,Never-married,Transport-moving,Not-in-family,White,Male,United-States
CLI0091,<=50K,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Mexico
CLI0092,>50K,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,United-States
CLI0093,>50K,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,Greece
CLI0094,<=50K,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
CLI0095,<=50K,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
CLI0096,<=50K,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0097,<=50K,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Male,United-States
CLI0098,<=50K,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States
CLI0099,<=50K,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States
CLI0100,<=50K,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States
CLI0101,<=50K,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
CLI0102,<=50K,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
CLI0103,<=50K,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
CLI0104,>50K,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0105,<=50K,Private,Some-college,Married-civ-spouse,Tech-support,Wife,Black,Female,United-States
CLI0106,>50K,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States
CLI0107,<=50K,State-gov,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,United-States
CLI0108,<=50K,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
CLI0109,<=50K,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
CLI0110,<=50K,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0111,<=50K,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States
CLI0112,<=50K,?,11th,Divorced,?,Not-in-family,White,Female,United-States
CLI0113,>50K,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
CLI0114,<=50K,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,United-States
CLI0115,>50K,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0116,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0117,<=50K,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,United-States
CLI0118,<=50K,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0119,<=50K,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States
CLI0120,>50K,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,United-States
CLI0121,<=50K,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0122,<=50K,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
CLI0123,<=50K,Local-gov,9th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0124,<=50K,Private,10th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States
CLI0125,<=50K,Private,10th,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,United-States
CLI0126,>50K,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,United-States
CLI0127,>50K,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0128,<=50K,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,El-Salvador
CLI0129,<=50K,State-gov,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,United-States
CLI0130,<=50K,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0131,<=50K,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,United-States
CLI0132,<=50K,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
CLI0133,<=50K,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Jamaica
CLI0134,<=50K,?,HS-grad,Widowed,?,Not-in-family,White,Female,United-States
CLI0135,<=50K,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,United-States
CLI0136,<=50K,Local-gov,Prof-school,Divorced,Prof-specialty,Unmarried,Black,Female,United-States
CLI0137,>50K,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0138,<=50K,Local-gov,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,United-States
CLI0139,<=50K,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,United-States
CLI0140,>50K,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0141,<=50K,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States
CLI0142,<=50K,Private,Assoc-voc,Never-married,Craft-repair,Own-child,Black,Male,United-States
CLI0143,<=50K,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0144,>50K,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0145,<=50K,Private,Bachelors,Never-married,Sales,Own-child,White,Male,United-States
CLI0146,<=50K,State-gov,10th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0147,<=50K,Private,10th,Never-married,Adm-clerical,Own-child,White,Male,United-States
CLI0148,<=50K,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States
CLI0149,<=50K,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States
CLI0150,<=50K,?,HS-grad,Never-married,?,Not-in-family,White,Female,United-States
CLI0151,<=50K,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,United-States
CLI0152,>50K,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
CLI0153,<=50K,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Germany
CLI0154,<=50K,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States
CLI0155,>50K,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0156,<=50K,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,Jamaica
CLI0157,<=50K,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States
CLI0158,<=50K,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,Male,United-States
CLI0159,<=50K,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,United-States
CLI0160,<=50K,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States
CLI0161,<=50K,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States
CLI0162,>50K,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0163,<=50K,State-gov,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States
CLI0164,<=50K,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0165,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0166,<=50K,Private,11th,Widowed,Adm-clerical,Not-in-family,White,Female,United-States
CLI0167,<=50K,Private,HS-grad,Divorced,Sales,Own-child,White,Female,United-States
CLI0168,>50K,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States
CLI0169,<=50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0170,<=50K,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
CLI0171,<=50K,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,United-States
CLI0172,<=50K,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States
CLI0173,>50K,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,United-States
CLI0174,<=50K,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,United-States
CLI0175,<=50K,?,Bachelors,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Female,Taiwan
CLI0176,<=50K,?,7th-8th,Divorced,?,Not-in-family,White,Male,United-States
CLI0177,<=50K,Private,10th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0178,<=50K,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States
CLI0179,>50K,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States
CLI0180,>50K,Local-gov,Bachelors,Divorced,Protective-serv,Not-in-family,White,Male,United-States
CLI0181,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0182,>50K,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
CLI0183,<=50K,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,United-States
CLI0184,<=50K,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States
CLI0185,<=50K,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0186,<=50K,Private,10th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States
CLI0187,>50K,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Taiwan
CLI0188,>50K,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0189,>50K,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States
CLI0190,>50K,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0191,>50K,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0192,<=50K,Private,HS-grad,Never-married,Craft-repair,Unmarried,Black,Female,United-States
CLI0193,<=50K,Private,Masters,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States
CLI0194,<=50K,Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States
CLI0195,<=50K,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
CLI0196,<=50K,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States
CLI0197,>50K,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0198,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0199,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
CLI0200,<=50K,Private,10th,Never-married,Sales,Other-relative,Black,Female,United-States
CLI0201,<=50K,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States
CLI0202,<=50K,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
CLI0203,<=50K,Private,HS-grad,Divorced,Adm-clerical,Own-child,Other,Female,United-States
CLI0204,<=50K,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States
CLI0205,<=50K,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States
CLI0206,<=50K,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States
CLI0207,>50K,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0208,<=50K,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0209,<=50K,Private,7th-8th,Never-married,Other-service,Unmarried,Black,Female,Trinadad&Tobago
CLI0210,<=50K,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
CLI0211,<=50K,Local-gov,Prof-school,Widowed,Prof-specialty,Not-in-family,White,Female,United-States
CLI0212,<=50K,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States
CLI0213,>50K,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
CLI0214,<=50K,Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,United-States
CLI0215,<=50K,Private,Masters,Separated,Exec-managerial,Unmarried,White,Female,United-States
CLI0216,<=50K,Private,HS-grad,Never-married,Protective-serv,Own-child,Black,Male,United-States
CLI0217,>50K,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States
CLI0218,>50K,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0219,<=50K,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,United-States
CLI0220,<=50K,Self-emp-inc,10th,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0221,<=50K,Private,Assoc-voc,Married-civ-spouse,Other-service,Other-relative,White,Female,United-States
CLI0222,<=50K,Private,Some-college,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,United-States
CLI0223,<=50K,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,United-States
CLI0224,<=50K,?,Some-college,Never-married,?,Own-child,White,Female,United-States
CLI0225,>50K,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0226,<=50K,Private,Some-college,Separated,Exec-managerial,Unmarried,White,Female,United-States
CLI0227,<=50K,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States
CLI0228,<=50K,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
CLI0229,<=50K,Private,HS-grad,Married-spouse-absent,Sales,Own-child,White,Female,United-States
CLI0230,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
CLI0231,<=50K,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
CLI0232,<=50K,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico
CLI0233,<=50K,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0234,<=50K,Self-emp-inc,Doctorate,Separated,Prof-specialty,Not-in-family,White,Male,United-States
CLI0235,>50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0236,<=50K,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0237,>50K,Self-emp-inc,Assoc-voc,Married-civ-spouse,Other-service,Wife,White,Female,United-States
CLI0238,<=50K,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,United-States
CLI0239,<=50K,Private,10th,Never-married,Sales,Own-child,White,Female,United-States
CLI0240,>50K,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,Male,Jamaica
CLI0241,<=50K,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
CLI0242,<=50K,Private,HS-grad,Never-married,Sales,Other-relative,White,Female,United-States
CLI0243,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
CLI0244,<=50K,Private,11th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0245,>50K,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0246,<=50K,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,Black,Male,United-States
CLI0247,<=50K,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States
CLI0248,<=50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
CLI0249,<=50K,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0250,<=50K,Private,Some-college,Never-married,Sales,Own-child,Black,Male,United-States
CLI0251,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0252,<=50K,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States
CLI0253,>50K,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0254,<=50K,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0255,<=50K,?,HS-grad,Never-married,?,Own-child,White,Male,United-States
CLI0256,<=50K,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States
CLI0257,<=50K,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,United-States
CLI0258,>50K,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0259,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0260,>50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0261,<=50K,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0262,<=50K,?,Prof-school,Married-civ-spouse,?,Husband,White,Male,United-States
CLI0263,<=50K,Private,11th,Never-married,Prof-specialty,Own-child,White,Male,United-States
CLI0264,<=50K,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0265,<=50K,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,?
CLI0266,<=50K,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,United-States
CLI0267,<=50K,Private,10th,Never-married,Sales,Not-in-family,White,Male,United-States
CLI0268,<=50K,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
CLI0269,<=50K,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
CLI0270,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
CLI0271,<=50K,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,Thailand
CLI0272,<=50K,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
CLI0273,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0274,<=50K,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
CLI0275,<=50K,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States
CLI0276,<=50K,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
CLI0277,<=50K,Private,HS-grad,Widowed,Sales,Unmarried,White,Female,United-States
CLI0278,>50K,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States
CLI0279,<=50K,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0280,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
CLI0281,<=50K,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
CLI0282,<=50K,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
CLI0283,<=50K,Self-emp-not-inc,Assoc-voc,Never-married,Other-service,Other-relative,White,Female,United-States
