ID,Label,Service time,Age,Work load Average/day ,Hit target,Son,Pet,Weight,Height,Body mass index
WOR0162,8,9,30,343.253,95,0,0,56,171,19
WOR0163,3,14,47,343.253,95,2,1,86,165,32
WOR0164,>24,11,36,343.253,95,4,0,65,168,23
WOR0165,>24,17,40,343.253,95,2,0,63,170,22
WOR0168,8,14,34,343.253,95,2,0,95,196,25
WOR0169,8,13,33,343.253,95,2,1,90,172,30
WOR0170,8,17,40,343.253,95,2,0,63,170,22
WOR0172,1,9,28,343.253,95,1,2,69,169,24
WOR0173,8,14,39,343.253,95,2,0,68,168,24
WOR0174,24,18,38,343.253,95,0,0,89,170,31
WOR0175,2,9,28,343.253,95,1,2,69,169,24
WOR0176,8,9,28,343.253,95,1,2,69,169,24
WOR0177,1,9,30,343.253,95,0,0,56,171,19
WOR0178,8,9,28,343.253,95,1,2,69,169,24
WOR0180,3,18,38,343.253,95,0,0,89,170,31
WOR0182,2,9,28,343.253,95,1,2,69,169,24
WOR0183,3,14,47,343.253,95,2,1,86,165,32
WOR0184,1,9,28,343.253,95,1,2,69,169,24
WOR0185,1,12,40,326.452,96,1,1,73,171,25
WOR0186,1,9,28,326.452,96,1,2,69,169,24
WOR0187,1,14,34,326.452,96,2,0,95,196,25
WOR0188,24,16,41,326.452,96,0,0,67,170,23
WOR0189,1,14,34,326.452,96,2,0,95,196,25
WOR0190,2,9,28,326.452,96,1,2,69,169,24
WOR0192,24,18,38,326.452,96,0,0,89,170,31
WOR0193,1,18,50,326.452,96,1,0,98,178,31
WOR0194,3,12,40,326.452,96,1,1,73,171,25
WOR0195,8,16,41,326.452,96,0,0,67,170,23
WOR0196,1,12,40,326.452,96,1,1,73,171,25
WOR0197,8,14,47,326.452,96,2,1,86,165,32
WOR0198,>24,11,36,326.452,96,4,0,65,168,23
WOR0199,8,13,33,326.452,96,2,1,90,172,30
WOR0200,24,14,34,326.452,96,2,0,95,196,25
WOR0201,8,11,36,326.452,96,2,4,65,174,21
WOR0203,3,14,37,326.452,96,1,1,88,172,29
WOR0204,0,12,48,326.452,96,1,5,88,163,33
WOR0205,8,13,33,378.884,92,2,1,90,172,30
WOR0206,2,14,34,378.884,92,2,0,95,196,25
WOR0207,1,14,34,378.884,92,2,0,95,196,25
WOR0208,8,18,38,378.884,92,0,0,89,170,31
WOR0209,8,9,28,378.884,92,1,2,69,169,24
WOR0211,2,14,34,378.884,92,2,0,95,196,25
WOR0212,1,18,38,378.884,92,0,0,89,170,31
WOR0213,24,13,33,378.884,92,2,1,90,172,30
WOR0214,0,14,39,378.884,92,2,0,68,168,24
WOR0215,0,4,28,378.884,92,0,0,84,182,25
WOR0216,0,11,36,378.884,92,2,4,65,174,21
WOR0217,0,9,50,378.884,92,0,0,76,178,24
WOR0218,1,18,38,378.884,92,0,0,89,170,31
WOR0219,24,18,50,378.884,92,1,0,98,178,31
WOR0220,8,3,28,378.884,92,1,4,80,172,27
WOR0221,8,16,41,377.55,94,0,0,67,170,23
WOR0222,8,3,28,377.55,94,1,4,80,172,27
WOR0223,24,16,41,377.55,94,0,0,67,170,23
WOR0225,8,16,41,377.55,94,0,0,67,170,23
WOR0226,8,18,38,377.55,94,0,0,89,170,31
WOR0228,8,16,41,377.55,94,0,0,67,170,23
WOR0229,8,18,50,377.55,94,1,0,98,178,31
WOR0231,1,18,50,377.55,94,1,0,98,178,31
WOR0232,>24,18,50,377.55,94,1,0,98,178,31
WOR0233,8,11,36,377.55,94,2,4,65,174,21
WOR0234,2,18,38,377.55,94,0,0,89,170,31
WOR0235,2,29,49,377.55,94,0,2,108,172,36
WOR0236,2,9,28,377.55,94,1,2,69,169,24
WOR0238,8,18,50,275.312,98,1,0,98,178,31
WOR0239,8,10,37,275.312,98,0,0,83,172,28
WOR0241,8,4,28,275.312,98,0,0,84,182,25
WOR0242,8,9,30,275.312,98,0,0,56,171,19
WOR0243,2,14,34,275.312,98,2,0,95,196,25
WOR0244,8,4,28,275.312,98,0,0,84,182,25
WOR0245,8,4,28,275.312,98,0,0,84,182,25
WOR0246,3,6,29,275.312,98,0,0,75,185,22
WOR0247,8,3,28,275.312,98,1,4,80,172,27
WOR0248,8,13,33,275.312,98,2,1,90,172,30
WOR0249,8,18,38,275.312,98,0,0,89,170,31
WOR0250,>24,13,33,275.312,98,2,1,90,172,30
WOR0251,8,13,33,275.312,98,2,1,90,172,30
WOR0252,0,11,36,275.312,98,4,0,65,168,23
WOR0253,8,13,33,265.615,94,2,1,90,172,30
WOR0254,3,6,29,265.615,94,0,0,75,185,22
WOR0255,1,13,33,265.615,94,2,1,90,172,30
WOR0256,8,16,58,265.615,94,2,1,65,172,22
WOR0257,1,13,43,265.615,94,2,1,77,175,25
WOR0258,2,13,43,265.615,94,2,1,77,175,25
WOR0261,1,14,47,265.615,94,2,1,86,165,32
WOR0262,8,8,33,265.615,94,0,0,79,178,25
WOR0263,1,9,30,265.615,94,0,0,56,171,19
WOR0264,3,18,50,265.615,94,1,0,98,178,31
WOR0265,2,14,47,265.615,94,2,1,86,165,32
WOR0266,1,14,37,265.615,94,1,1,88,172,29
WOR0267,1,18,50,265.615,94,1,0,98,178,31
WOR0268,8,14,37,265.615,94,1,1,88,172,29
WOR0269,8,3,28,265.615,94,1,4,80,172,27
WOR0270,8,7,27,265.615,94,0,0,58,167,21
WOR0271,8,18,38,294.217,81,0,0,89,170,31
WOR0272,3,18,38,294.217,81,0,0,89,170,31
WOR0273,24,13,33,294.217,81,2,1,90,172,30
WOR0274,0,13,43,294.217,81,1,0,106,167,38
WOR0276,3,12,40,294.217,81,1,1,73,171,25
WOR0277,0,14,39,294.217,81,2,2,100,170,35
WOR0278,0,12,32,294.217,81,0,0,65,169,23
WOR0279,8,18,38,294.217,81,0,0,89,170,31
WOR0280,>24,16,41,294.217,81,0,0,67,170,23
WOR0281,1,18,38,294.217,81,0,0,89,170,31
WOR0284,8,13,43,294.217,81,1,0,106,167,38
WOR0285,1,18,50,294.217,81,1,0,98,178,31
WOR0286,0,13,43,294.217,81,1,0,106,167,38
WOR0287,3,12,40,294.217,81,1,1,73,171,25
WOR0288,>24,12,40,294.217,81,1,1,73,171,25
WOR0289,8,18,38,294.217,81,0,0,89,170,31
WOR0290,8,13,33,265.017,88,2,1,90,172,30
WOR0292,8,13,33,265.017,88,2,1,90,172,30
WOR0293,8,13,33,265.017,88,2,1,90,172,30
WOR0294,0,18,50,265.017,88,1,0,98,178,31
WOR0295,0,14,47,265.017,88,2,1,86,165,32
WOR0296,8,9,30,265.017,88,0,0,56,171,19
WOR0297,3,10,37,265.017,88,0,0,83,172,28
WOR0298,8,12,31,265.017,88,3,0,70,169,25
WOR0299,1,18,38,265.017,88,0,0,89,170,31
WOR0300,>24,9,30,265.017,88,0,0,56,171,19
WOR0301,0,13,43,265.017,88,1,0,106,167,38
WOR0303,3,11,36,265.017,88,4,0,65,168,23
WOR0304,0,13,43,265.017,88,1,0,106,167,38
WOR0305,2,13,43,265.017,88,1,0,106,167,38
WOR0306,2,13,43,265.017,88,1,0,106,167,38
WOR0307,1,18,50,265.017,88,1,0,98,178,31
WOR0310,1,18,50,265.017,88,1,0,98,178,31
WOR0311,8,3,28,265.017,88,1,4,80,172,27
WOR0312,0,11,36,265.017,88,4,0,65,168,23
WOR0313,0,12,40,265.017,88,1,1,73,171,25
WOR0314,0,6,29,265.017,88,0,0,75,185,22
WOR0317,1,18,50,265.017,88,1,0,98,178,31
WOR0318,8,10,37,284.031,97,0,0,83,172,28
WOR0319,2,14,47,284.031,97,2,1,86,165,32
WOR0320,8,18,38,284.031,97,0,0,89,170,31
WOR0321,3,11,36,284.031,97,4,0,65,168,23
WOR0322,1,12,40,284.031,97,1,1,73,171,25
WOR0323,8,11,36,284.031,97,2,4,65,174,21
WOR0324,>24,14,34,284.031,97,2,0,95,196,25
WOR0325,8,13,43,284.031,97,1,0,106,167,38
WOR0326,0,4,28,284.031,97,0,0,84,182,25
WOR0327,1,14,37,284.031,97,1,1,88,172,29
WOR0328,3,10,37,284.031,97,0,0,83,172,28
WOR0329,2,14,37,284.031,97,1,1,88,172,29
WOR0330,3,18,38,284.031,97,0,0,89,170,31
WOR0331,8,16,41,284.031,97,0,0,67,170,23
WOR0333,8,16,41,284.031,97,0,0,67,170,23
WOR0334,1,18,38,284.031,97,0,0,89,170,31
WOR0335,8,11,36,284.031,97,4,0,65,168,23
WOR0336,8,11,36,284.031,97,4,0,65,168,23
WOR0337,0,11,36,284.031,97,2,4,65,174,21
WOR0338,0,14,39,284.031,97,2,0,68,168,24
WOR0339,1,18,38,284.031,97,0,0,89,170,31
WOR0340,3,9,28,236.629,93,1,2,69,169,24
WOR0341,2,18,38,236.629,93,0,0,89,170,31
WOR0342,1,18,38,236.629,93,0,0,89,170,31
WOR0343,3,14,37,236.629,93,1,1,88,172,29
WOR0344,1,18,50,236.629,93,1,0,98,178,31
WOR0346,8,16,41,236.629,93,0,0,67,170,23
WOR0347,1,18,38,236.629,93,0,0,89,170,31
WOR0348,1,18,38,236.629,93,0,0,89,170,31
WOR0349,1,9,30,236.629,93,0,0,56,171,19
WOR0350,8,10,37,236.629,93,0,0,83,172,28
WOR0351,2,14,37,236.629,93,1,1,88,172,29
WOR0352,1,18,38,236.629,93,0,0,89,170,31
WOR0353,8,13,43,236.629,93,1,0,106,167,38
WOR0355,8,11,36,236.629,93,4,0,65,168,23
WOR0356,2,6,29,236.629,93,0,0,75,185,22
WOR0357,3,18,38,236.629,93,0,0,89,170,31
WOR0358,8,13,33,236.629,93,2,1,90,172,30
WOR0360,>24,10,37,330.061,100,0,0,83,172,28
WOR0361,2,14,34,330.061,100,2,0,95,196,25
WOR0362,1,14,37,330.061,100,1,1,88,172,29
WOR0364,8,13,33,330.061,100,2,1,90,172,30
WOR0365,8,12,40,330.061,100,1,1,73,171,25
WOR0366,8,13,43,330.061,100,1,0,106,167,38
WOR0368,1,18,38,330.061,100,0,0,89,170,31
WOR0369,1,18,38,330.061,100,0,0,89,170,31
WOR0370,2,10,37,251.818,96,0,0,83,172,28
WOR0371,3,18,38,251.818,96,0,0,89,170,31
WOR0372,1,9,28,251.818,96,1,2,69,169,24
WOR0373,3,13,33,251.818,96,2,1,90,172,30
WOR0374,3,11,36,251.818,96,4,0,65,168,23
WOR0375,3,18,38,251.818,96,0,0,89,170,31
WOR0376,2,18,38,251.818,96,0,0,89,170,31
WOR0377,3,18,38,251.818,96,0,0,89,170,31
WOR0378,8,18,38,251.818,96,0,0,89,170,31
WOR0379,8,16,41,251.818,96,0,0,67,170,23
WOR0380,3,18,38,251.818,96,0,0,89,170,31
WOR0381,8,13,33,251.818,96,2,2,69,167,25
WOR0382,3,18,38,251.818,96,0,0,89,170,31
WOR0383,2,16,41,251.818,96,0,0,67,170,23
WOR0384,2,12,40,251.818,96,1,1,73,171,25
WOR0386,3,18,38,251.818,96,0,0,89,170,31
WOR0387,3,18,38,251.818,96,0,0,89,170,31
WOR0388,24,16,41,251.818,96,0,0,67,170,23
WOR0389,3,18,38,251.818,96,0,0,89,170,31
WOR0390,3,18,38,251.818,96,0,0,89,170,31
WOR0391,8,10,37,244.387,98,0,0,83,172,28
WOR0393,2,16,41,244.387,98,0,0,67,170,23
WOR0395,2,18,38,244.387,98,0,0,89,170,31
WOR0396,8,14,37,244.387,98,1,1,88,172,29
WOR0397,8,17,40,244.387,98,2,0,63,170,22
WOR0398,8,11,36,244.387,98,2,4,65,174,21
WOR0400,8,3,28,244.387,98,1,4,80,172,27
WOR0401,0,12,31,244.387,98,3,0,70,169,25
WOR0402,8,14,37,244.387,98,1,1,88,172,29
WOR0403,2,18,50,244.387,98,1,0,98,178,31
WOR0404,3,18,50,244.387,98,1,0,98,178,31
WOR0405,8,18,50,244.387,98,1,0,98,178,31
WOR0406,0,14,37,244.387,98,1,1,88,172,29
WOR0407,0,16,41,244.387,98,0,0,67,170,23
WOR0408,0,18,50,244.387,98,1,0,98,178,31
WOR0409,8,18,38,244.387,98,0,0,89,170,31
WOR0410,8,13,33,244.387,98,2,1,90,172,30
WOR0411,8,11,36,244.387,98,4,0,65,168,23
WOR0412,2,16,41,244.387,98,0,0,67,170,23
WOR0414,3,11,36,239.409,98,4,0,65,168,23
WOR0418,8,4,28,239.409,98,0,0,84,182,25
WOR0419,8,18,38,239.409,98,0,0,89,170,31
WOR0420,1,18,50,239.409,98,1,0,98,178,31
WOR0421,>24,18,50,239.409,98,1,0,98,178,31
WOR0422,8,13,43,239.409,98,2,1,77,175,25
WOR0425,2,10,37,239.409,98,0,0,83,172,28
WOR0427,2,14,47,246.074,99,2,1,86,165,32
WOR0428,8,12,31,246.074,99,3,0,70,169,25
WOR0429,3,9,30,246.074,99,0,0,56,171,19
WOR0431,1,3,28,246.074,99,1,4,80,172,27
WOR0432,3,11,36,246.074,99,4,0,65,168,23
WOR0433,2,17,40,246.074,99,2,0,63,170,22
WOR0434,3,17,40,246.074,99,2,0,63,170,22
WOR0435,8,16,58,246.074,99,2,1,65,172,22
WOR0436,3,9,28,246.074,99,1,2,69,169,24
WOR0437,8,4,28,246.074,99,0,0,84,182,25
WOR0438,2,9,30,246.074,99,0,0,56,171,19
WOR0439,1,10,37,246.074,99,0,0,83,172,28
WOR0440,8,14,37,246.074,99,1,1,88,172,29
WOR0441,3,9,30,246.074,99,0,0,56,171,19
WOR0442,3,10,37,253.957,95,0,0,83,172,28
WOR0443,3,18,38,253.957,95,0,0,89,170,31
WOR0444,2,10,37,253.957,95,0,0,83,172,28
WOR0447,0,18,38,253.957,95,0,0,89,170,31
WOR0448,>24,12,40,253.957,95,1,1,73,171,25
WOR0449,24,18,38,253.957,95,0,0,89,170,31
WOR0450,3,16,41,253.957,95,0,0,67,170,23
WOR0452,8,13,43,253.957,95,1,0,106,167,38
WOR0453,2,18,38,253.957,95,0,0,89,170,31
WOR0454,2,9,28,253.957,95,1,2,69,169,24
WOR0455,2,18,50,253.957,95,1,0,98,178,31
WOR0456,8,18,38,253.957,95,0,0,89,170,31
WOR0457,2,9,30,253.957,95,0,0,56,171,19
WOR0458,2,16,41,253.957,95,0,0,67,170,23
WOR0459,1,4,28,253.957,95,0,0,84,182,25
WOR0460,8,14,37,253.957,95,1,1,88,172,29
WOR0461,2,9,30,230.29,92,0,0,56,171,19
WOR0463,8,11,36,230.29,92,4,0,65,168,23
WOR0464,8,8,33,230.29,92,0,0,79,178,25
WOR0465,8,4,28,230.29,92,0,0,84,182,25
WOR0466,8,10,37,230.29,92,0,0,83,172,28
WOR0468,8,10,37,230.29,92,0,0,83,172,28
WOR0469,8,13,43,230.29,92,2,1,77,175,25
WOR0470,1,12,48,230.29,92,1,5,88,163,33
WOR0471,2,16,41,230.29,92,0,0,67,170,23
WOR0472,>24,9,28,230.29,92,1,2,69,169,24
WOR0473,1,18,38,230.29,92,0,0,89,170,31
WOR0474,1,18,50,230.29,92,1,0,98,178,31
WOR0475,8,3,28,230.29,92,1,4,80,172,27
WOR0476,8,13,33,230.29,92,2,1,90,172,30
WOR0477,8,13,43,230.29,92,1,0,106,167,38
WOR0478,2,16,41,230.29,92,0,0,67,170,23
WOR0479,1,12,40,230.29,92,1,1,73,171,25
WOR0480,2,14,39,230.29,92,2,0,68,168,24
WOR0482,1,17,40,249.797,93,2,0,63,170,22
WOR0485,8,13,33,249.797,93,2,1,90,172,30
WOR0486,8,13,43,249.797,93,1,0,106,167,38
WOR0489,8,17,40,249.797,93,2,0,63,170,22
WOR0492,1,16,41,249.797,93,0,0,67,170,23
WOR0494,2,12,40,249.797,93,1,1,73,171,25
WOR0495,3,11,36,249.797,93,4,0,65,168,23
WOR0496,1,16,41,261.756,87,0,0,67,170,23
WOR0497,1,16,41,261.756,87,0,0,67,170,23
WOR0498,3,10,37,261.756,87,0,0,83,172,28
WOR0499,2,14,34,261.756,87,2,0,95,196,25
WOR0500,2,12,40,261.756,87,1,1,73,171,25
WOR0501,8,9,30,261.756,87,0,0,56,171,19
WOR0502,1,14,47,261.756,87,2,1,86,165,32
WOR0504,1,9,28,261.756,87,1,2,69,169,24
WOR0505,2,9,30,261.756,87,0,0,56,171,19
WOR0506,8,12,31,261.756,87,3,0,70,169,25
WOR0507,8,3,28,261.756,87,1,4,80,172,27
WOR0508,1,29,49,284.853,91,0,2,108,172,36
WOR0509,3,8,32,284.853,91,0,0,75,178,25
WOR0510,8,16,41,284.853,91,0,0,67,170,23
WOR0511,3,29,49,284.853,91,0,2,108,172,36
WOR0512,2,12,40,284.853,91,1,1,73,171,25
WOR0513,2,10,37,284.853,91,0,0,83,172,28
WOR0514,2,29,49,284.853,91,0,2,108,172,36
WOR0515,1,12,40,284.853,91,1,1,73,171,25
WOR0516,2,9,28,284.853,91,1,2,69,169,24
WOR0517,8,12,31,284.853,91,3,0,70,169,25
WOR0518,3,12,31,284.853,91,3,0,70,169,25
WOR0520,8,12,31,284.853,91,3,0,70,169,25
WOR0521,3,18,38,284.853,91,0,0,89,170,31
WOR0522,1,16,58,284.853,91,2,1,65,172,22
WOR0523,1,12,40,284.853,91,1,1,73,171,25
WOR0524,8,12,31,284.853,91,3,0,70,169,25
WOR0525,1,9,28,284.853,91,1,2,69,169,24
WOR0526,8,12,31,284.853,91,3,0,70,169,25
WOR0527,3,9,28,284.853,91,1,2,69,169,24
WOR0528,8,13,33,284.853,91,2,2,69,167,25
WOR0529,8,8,32,284.853,91,0,0,75,178,25
WOR0530,8,14,47,284.853,91,2,1,86,165,32
WOR0531,0,9,28,284.853,91,1,2,69,169,24
WOR0532,3,9,28,284.853,91,1,2,69,169,24
WOR0533,1,18,38,268.519,93,0,0,89,170,31
WOR0534,3,10,37,268.519,93,0,0,83,172,28
WOR0535,24,4,28,268.519,93,0,0,84,182,25
WOR0536,1,18,38,268.519,93,0,0,89,170,31
WOR0537,8,10,37,268.519,93,0,0,83,172,28
WOR0538,8,13,33,268.519,93,2,1,90,172,30
WOR0539,8,8,32,268.519,93,0,0,75,178,25
WOR0541,8,3,28,268.519,93,1,4,80,172,27
WOR0542,2,12,40,268.519,93,1,1,73,171,25
WOR0543,2,10,37,268.519,93,0,0,83,172,28
WOR0544,3,9,28,268.519,93,1,2,69,169,24
WOR0545,1,18,38,268.519,93,0,0,89,170,31
WOR0546,8,10,37,268.519,93,0,0,83,172,28
WOR0547,8,10,37,268.519,93,0,0,83,172,28
WOR0548,2,9,28,268.519,93,1,2,69,169,24
WOR0549,0,12,40,268.519,93,1,1,73,171,25
WOR0550,0,13,33,268.519,93,2,1,90,172,30
WOR0552,0,13,43,268.519,93,1,0,106,167,38
WOR0553,2,9,28,268.519,93,1,2,69,169,24
WOR0554,8,12,31,268.519,93,3,0,70,169,25
WOR0555,2,3,28,268.519,93,1,4,80,172,27
WOR0556,>24,18,38,280.549,98,0,0,89,170,31
WOR0557,1,12,40,280.549,98,1,1,73,171,25
WOR0558,3,9,28,280.549,98,1,2,69,169,24
WOR0559,1,9,30,280.549,98,0,0,56,171,19
WOR0560,3,9,28,280.549,98,1,2,69,169,24
WOR0561,3,9,28,280.549,98,1,2,69,169,24
WOR0563,2,17,40,280.549,98,2,0,63,170,22
WOR0564,8,13,43,280.549,98,1,0,106,167,38
WOR0565,8,1,31,280.549,98,1,8,68,178,21
WOR0567,2,9,28,280.549,98,1,2,69,169,24
WOR0568,3,9,28,280.549,98,1,2,69,169,24
WOR0569,2,9,28,280.549,98,1,2,69,169,24
WOR0570,>24,14,34,280.549,98,2,0,95,196,25
WOR0571,24,9,30,313.532,96,0,0,56,171,19
WOR0573,2,17,40,313.532,96,2,0,63,170,22
WOR0574,2,17,40,313.532,96,2,0,63,170,22
WOR0575,3,9,30,313.532,96,0,0,56,171,19
